Respondent_ID,Question,Response
34,Product_Quality,4
34,Customer_Service,5
34,Value_for_Money,2
34,Delivery_Speed,3
34,Overall_Satisfaction,3
35,Product_Quality,5
35,Customer_Service,4
35,Value_for_Money,3
35,Delivery_Speed,3
35,Overall_Satisfaction,4
36,Product_Quality,1
36,Customer_Service,5
36,Value_for_Money,4
36,Delivery_Speed,3
36,Overall_Satisfaction,5
37,Product_Quality,5
37,Customer_Service,1
37,Value_for_Money,5
37,Delivery_Speed,4
37,Overall_Satisfaction,1
38,Product_Quality,5
38,Customer_Service,3
38,Value_for_Money,4
38,Delivery_Speed,5
38,Overall_Satisfaction,2
39,Product_Quality,3
39,Customer_Service,5
39,Value_for_Money,2
39,Delivery_Speed,4
39,Overall_Satisfaction,5
40,Product_Quality,2
40,Customer_Service,4
40,Value_for_Money,2
40,Delivery_Speed,4
40,Overall_Satisfaction,1
41,Product_Quality,4
41,Customer_Service,1
41,Value_for_Money,2
41,Delivery_Speed,4
41,Overall_Satisfaction,4
42,Product_Quality,5
42,Customer_Service,3
42,Value_for_Money,3
42,Delivery_Speed,4
42,Overall_Satisfaction,3
43,Product_Quality,1
43,Customer_Service,1
43,Value_for_Money,3
43,Delivery_Speed,3
43,Overall_Satisfaction,5
44,Product_Quality,1
44,Customer_Service,1
44,Value_for_Money,1
44,Delivery_Speed,1
44,Overall_Satisfaction,2
45,Product_Quality,3
45,Customer_Service,3
45,Value_for_Money,4
45,Delivery_Speed,5
45,Overall_Satisfaction,2
46,Product_Quality,2
46,Customer_Service,2
46,Value_for_Money,2
46,Delivery_Speed,5
46,Overall_Satisfaction,1
47,Product_Quality,2
47,Customer_Service,2
47,Value_for_Money,1
47,Delivery_Speed,5
47,Overall_Satisfaction,2
48,Product_Quality,5
48,Customer_Service,4
48,Value_for_Money,1
48,Delivery_Speed,1
48,Overall_Satisfaction,5
49,Product_Quality,3
49,Customer_Service,3
49,Value_for_Money,4
49,Delivery_Speed,5
49,Overall_Satisfaction,5
50,Product_Quality,1
50,Customer_Service,3
50,Value_for_Money,1
50,Delivery_Speed,5
50,Overall_Satisfaction,3
